interp_r,interp_d,interp_mp1,interp_mp2,interp_mp3
4300,4.510307,11.11573,18.21774,25.40309
4310,4.5145,11.11744,18.21878,25.40384
4320,4.518699,11.11914,18.21982,25.40458
4330,4.522903,11.12085,18.22087,25.40533
4340,4.527113,11.12256,18.22191,25.40608
4350,4.53133,11.12427,18.22296,25.40683
4360,4.535552,11.12599,18.224,25.40758
4370,4.539779,11.12771,18.22506,25.40833
4380,4.544012,11.12944,18.22611,25.40909
4390,4.548252,11.13117,18.22717,25.40985
4400,4.552496,11.1329,18.22822,25.41061
4410,4.556747,11.13464,18.22929,25.41137
4420,4.561003,11.13638,18.23035,25.41213
4430,4.565265,11.13812,18.23141,25.4129
4440,4.569532,11.13987,18.23248,25.41366
4450,4.573805,11.14163,18.23355,25.41443
4460,4.578084,11.14338,18.23462,25.4152
4470,4.582368,11.14514,18.2357,25.41597
4480,4.586658,11.1469,18.23678,25.41674
4490,4.590953,11.14867,18.23786,25.41752
4500,4.595255,11.15044,18.23894,25.41829
4510,4.599562,11.15221,18.24002,25.41907
4520,4.603873,11.15399,18.24111,25.41985
4530,4.608191,11.15577,18.2422,25.42063
4540,4.612514,11.15756,18.24329,25.42142
4550,4.616842,11.15935,18.24438,25.4222
4560,4.621176,11.16114,18.24548,25.42299
4570,4.625515,11.16293,18.24658,25.42377
4580,4.62986,11.16473,18.24768,25.42456
4590,4.63421,11.16654,18.24878,25.42536
4600,4.638566,11.16834,18.24989,25.42615
4610,4.642927,11.17015,18.251,25.42694
4620,4.647293,11.17197,18.2521,25.42774
4630,4.651664,11.17378,18.25322,25.42854
4640,4.656042,11.1756,18.25433,25.42934
4650,4.660424,11.17743,18.25545,25.43014
4660,4.664811,11.17926,18.25657,25.43094
4670,4.669204,11.18109,18.25769,25.43175
4680,4.673602,11.18293,18.25881,25.43256
4690,4.678005,11.18476,18.25994,25.43336
4700,4.682414,11.18661,18.26107,25.43418
4710,4.686828,11.18845,18.2622,25.43499
4720,4.691247,11.1903,18.26333,25.4358
4730,4.695671,11.19216,18.26447,25.43662
4740,4.7001,11.19402,18.26561,25.43743
4750,4.704535,11.19588,18.26675,25.43825
4760,4.708975,11.19774,18.26789,25.43907
4770,4.71342,11.19961,18.26904,25.43989
4780,4.71787,11.20148,18.27018,25.44072
4790,4.722325,11.20336,18.27133,25.44155
